departamento_id,departamento_nombre,provincia_id,provincia_nombre,anio,semanas_epidemiologicas,evento_nombre,grupo_edad_id,grupo_edad_desc,cantidad_casos
7,COMUNA 7,2,CABA,2023,19,Dengue,6,De 10 a 14 años,3
14,Formosa,34,Formosa,2023,19,Dengue,5,De 5 a 9 años,1
49,General Obligado,82,Santa Fe,2023,19,Dengue,7,De 15 a 19 años,16
999,desconocido,99,desconocida,2023,19,Dengue,10,De 35 a 44 años,3
105,Tafí Viejo,90,Tucumán,2023,19,Dengue,6,De 10 a 14 años,8
91,San Cristóbal,82,Santa Fe,2023,19,Dengue,7,De 15 a 19 años,4
112,Metán,66,Salta,2023,19,Dengue,11,De 45 a 65 años,1
63,Lules,90,Tucumán,2023,19,Dengue,8,De 20 a 24 años,2
70,Las Colonias,82,Santa Fe,2023,19,Dengue,6,De 10 a 14 años,1
63,San Pedro,38,Jujuy,2023,19,Dengue,8,De 20 a 24 años,3
7,Almirante Brown,22,Chaco,2023,19,Dengue,12,Mayores de 65 años,5
5,COMUNA 5,2,CABA,2023,19,Dengue,12,Mayores de 65 años,1
140,San Fernando,22,Chaco,2023,19,Dengue,6,De 10 a 14 años,17
1,COMUNA 1,2,CABA,2023,19,Dengue,5,De 5 a 9 años,2
490,Lomas de Zamora,6,Buenos Aires,2023,19,Dengue,8,De 20 a 24 años,4
126,Orán,66,Salta,2023,19,Dengue,10,De 35 a 44 años,21
126,San Martín,82,Santa Fe,2023,19,Dengue,6,De 10 a 14 años,1
35,Avellaneda,6,Buenos Aires,2023,19,Dengue,9,De 25 a 34 años,3
77,General Taboada,86,Santiago del Estero,2023,19,Dengue,11,De 45 a 65 años,1
182,Coronel de Marina L. Rosales,6,Buenos Aires,2023,19,Dengue,11,De 45 a 65 años,1
49,General Güemes,66,Salta,2023,19,Dengue,9,De 25 a 34 años,8
43,Fray Justo Santa María de Oro,22,Chaco,2023,19,Dengue,5,De 5 a 9 años,2
98,Río Cuarto,14,Córdoba,2023,19,Dengue,10,De 35 a 44 años,1
105,9 de Julio,22,Chaco,2023,19,Dengue,10,De 35 a 44 años,5
8,COMUNA 8,2,CABA,2023,19,Dengue,8,De 20 a 24 años,1
14,Bermejo,22,Chaco,2023,19,Dengue,10,De 35 a 44 años,4
42,Eldorado,54,Misiones,2023,19,Dengue,9,De 25 a 34 años,1
98,Juan F. Ibarra,86,Santiago del Estero,2023,19,Dengue,11,De 45 a 65 años,1
21,Comandante Fernández,22,Chaco,2023,19,Dengue,6,De 10 a 14 años,4
28,Famaillá,90,Tucumán,2023,19,Dengue,7,De 15 a 19 años,4
36,12 de Octubre,22,Chaco,2023,19,Dengue,11,De 45 a 65 años,2
77,9 de Julio,82,Santa Fe,2023,19,Dengue,10,De 35 a 44 años,2
28,Capital,54,Misiones,2023,19,Dengue,9,De 25 a 34 años,2
427,La Matanza,6,Buenos Aires,2023,19,Dengue,9,De 25 a 34 años,16
49,Pilcomayo,34,Formosa,2023,19,Dengue,10,De 35 a 44 años,4
147,Río Hondo,86,Santiago del Estero,2023,19,Dengue,5,De 5 a 9 años,1
56,Grl. José de San Martín,66,Salta,2023,19,Dengue,11,De 45 a 65 años,21
1,COMUNA 1,2,CABA,2023,19,Dengue,9,De 25 a 34 años,20
7,COMUNA 7,2,CABA,2023,19,Dengue,9,De 25 a 34 años,3
21,Comandante Fernández,22,Chaco,2023,19,Dengue,8,De 20 a 24 años,3
133,Vera,82,Santa Fe,2023,19,Dengue,12,Mayores de 65 años,2
49,Capital,10,Catamarca,2023,19,Dengue,6,De 10 a 14 años,1
63,General Güemes,22,Chaco,2023,19,Dengue,11,De 45 a 65 años,12
49,Capital,10,Catamarca,2023,19,Dengue,7,De 15 a 19 años,3
1,COMUNA 1,2,CABA,2023,19,Dengue,11,De 45 a 65 años,22
648,Presidente Perón,6,Buenos Aires,2023,19,Dengue,9,De 25 a 34 años,2
91,Punilla,14,Córdoba,2023,19,Dengue,12,Mayores de 65 años,1
84,Capital,90,Tucumán,2023,19,Dengue,7,De 15 a 19 años,15
56,Iriondo,82,Santa Fe,2023,19,Dengue,10,De 35 a 44 años,1
28,Cruz del Eje,14,Córdoba,2023,19,Dengue,6,De 10 a 14 años,1
154,Utracán,42,La Pampa,2023,19,Dengue,9,De 25 a 34 años,1
410,Ituzaingó,6,Buenos Aires,2023,19,Dengue,11,De 45 a 65 años,3
56,Grl. José de San Martín,66,Salta,2023,19,Dengue,4,De 2 a 4 años,1
412,José C. Paz,6,Buenos Aires,2023,19,Dengue,11,De 45 a 65 años,3
7,Anta,66,Salta,2023,19,Dengue,6,De 10 a 14 años,10
161,Tercero Arriba,14,Córdoba,2023,19,Dengue,9,De 25 a 34 años,1
21,Castellanos,82,Santa Fe,2023,19,Dengue,6,De 10 a 14 años,5
623,Pergamino,6,Buenos Aires,2023,19,Dengue,9,De 25 a 34 años,1
21,Chicligasta,90,Tucumán,2023,19,Dengue,12,Mayores de 65 años,4
126,Orán,66,Salta,2023,19,Dengue,9,De 25 a 34 años,14
112,Metán,66,Salta,2023,19,Dengue,10,De 35 a 44 años,1
28,Capital,54,Misiones,2023,19,Dengue,7,De 15 a 19 años,1
8,COMUNA 8,2,CABA,2023,19,Dengue,11,De 45 a 65 años,5
